Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,21783000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,52382000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Peruskorjaukseen liittyvät toimintamenot,4937000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,15000000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,4164000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,2390000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan rakennusten peruskorjaukset,32000000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,6494000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,3413000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,195000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,15460000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,575000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,4083000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,126000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin toimintamenot,199000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,7500000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Eläkkeellä olevien presidenttien menot,600000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,2500000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Perusparannukset,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,125086000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,5575000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,1000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Pääministerin kansliassa toimivien ministereiden ja heidän avustajiensa matkat,867000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,11400000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19435000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,5700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,29635000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,3660000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Kunniamerkit,700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Suomi 100,4500000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainhallinnon toimintamenot,226439000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainministeriön hallinnonalan tuottavuusmääräraha,1155000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainministeriön hallinnonalan arvonlisäveromenot,15529000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Talonrakennukset,9900000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Kiinteistöjen ja huoneistojen hankkiminen,1500000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kriisinhallinta,Suomalaisten kriisinhallintajoukkojen ylläpitomenot,49000000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kriisinhallinta,Siviilihenkilöstön osallistuminen kriisinhallintaan,15360000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Valtionapu Teollisen yhteistyön rahasto Oy:lle,0
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Varsinainen kehitysyhteistyö,498093000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Finnfundin (Teollisen yhteistyön rahasto Oy) pääoman korottaminen,0
